timestamp_unix,timestamp_iso,participant_full_id,activity_class,missing_value_reason
1716992100000,2024-05-29T14:15:00Z,101-1-1-0005,generic,
1716992160000,2024-05-29T14:16:00Z,101-1-1-0005,walking,
1716992220000,2024-05-29T14:17:00Z,101-1-1-0005,generic,
1716992280000,2024-05-29T14:18:00Z,101-1-1-0005,generic,
1716992340000,2024-05-29T14:19:00Z,101-1-1-0005,walking,
1716992400000,2024-05-29T14:20:00Z,101-1-1-0005,generic,
1716992460000,2024-05-29T14:21:00Z,101-1-1-0005,generic,
1716992520000,2024-05-29T14:22:00Z,101-1-1-0005,generic,
1716992580000,2024-05-29T14:23:00Z,101-1-1-0005,generic,
1716992640000,2024-05-29T14:24:00Z,101-1-1-0005,generic,
1716992700000,2024-05-29T14:25:00Z,101-1-1-0005,generic,
1716992760000,2024-05-29T14:26:00Z,101-1-1-0005,generic,
1716992820000,2024-05-29T14:27:00Z,101-1-1-0005,generic,
1716992880000,2024-05-29T14:28:00Z,101-1-1-0005,generic,
1716992940000,2024-05-29T14:29:00Z,101-1-1-0005,generic,
1716993000000,2024-05-29T14:30:00Z,101-1-1-0005,generic,
1716993060000,2024-05-29T14:31:00Z,101-1-1-0005,generic,
1716993120000,2024-05-29T14:32:00Z,101-1-1-0005,generic,
1716993180000,2024-05-29T14:33:00Z,101-1-1-0005,generic,
1716993240000,2024-05-29T14:34:00Z,101-1-1-0005,generic,
1716993300000,2024-05-29T14:35:00Z,101-1-1-0005,generic,
1716993360000,2024-05-29T14:36:00Z,101-1-1-0005,generic,
1716993420000,2024-05-29T14:37:00Z,101-1-1-0005,generic,
1716993480000,2024-05-29T14:38:00Z,101-1-1-0005,generic,
1716993540000,2024-05-29T14:39:00Z,101-1-1-0005,generic,
1716993600000,2024-05-29T14:40:00Z,101-1-1-0005,generic,
1716993660000,2024-05-29T14:41:00Z,101-1-1-0005,generic,
1716993720000,2024-05-29T14:42:00Z,101-1-1-0005,generic,
1716993780000,2024-05-29T14:43:00Z,101-1-1-0005,generic,
1716993840000,2024-05-29T14:44:00Z,101-1-1-0005,generic,
1716993900000,2024-05-29T14:45:00Z,101-1-1-0005,generic,
1716993960000,2024-05-29T14:46:00Z,101-1-1-0005,generic,
1716994020000,2024-05-29T14:47:00Z,101-1-1-0005,generic,
1716994080000,2024-05-29T14:48:00Z,101-1-1-0005,generic,
1716994140000,2024-05-29T14:49:00Z,101-1-1-0005,generic,
1716994200000,2024-05-29T14:50:00Z,101-1-1-0005,generic,
1716994260000,2024-05-29T14:51:00Z,101-1-1-0005,generic,
1716994320000,2024-05-29T14:52:00Z,101-1-1-0005,generic,
1716994380000,2024-05-29T14:53:00Z,101-1-1-0005,generic,
1716994440000,2024-05-29T14:54:00Z,101-1-1-0005,generic,
1716994500000,2024-05-29T14:55:00Z,101-1-1-0005,generic,
