timestamp,value,body_position,quality_indicator
1689065604,2233,2,4
1689065608,1982,2,4
1689065612,1075,2,4
1689065616,632,2,4
1689065620,1079,2,4
1689065624,831,2,4
1689065628,2630,2,4
1689065632,1268,2,4
1689065636,1366,2,4
1689065640,739,2,4
1689065644,362,2,4
1689065648,2158,2,4
1689065652,1954,2,4
1689065656,6337,2,4
1689065660,7285,2,4
1689065664,6093,2,4
1689065668,8159,2,4
1689065672,17129,2,4
1689065676,9544,2,4
1689065680,4692,2,4
1689065684,2564,2,4
1689065688,6268,2,4
1689065692,3591,2,4
1689065696,189,2,4
1689065700,114,2,4
1689065704,138,2,4
1689065708,143,2,4
1689065712,132,2,4
1689065716,1714,2,4
1689065720,2385,2,4
1689065724,2322,2,4
1689065728,6070,2,4
1689065732,7256,2,4
1689065736,2499,2,4
1689065740,2478,2,4
1689065744,7639,2,4
1689065748,5394,2,4
1689065752,6361,2,4
1689065756,9519,2,4
1689065760,3792,2,4
1689065764,9856,2,4
1689065768,6857,2,4
1689065772,4172,2,4
1689065776,7478,2,4
1689065780,7325,2,4
1689065784,5034,2,4
1689065788,3287,2,4
1689065792,173,2,4
1689065796,3886,2,4
1689065800,5292,2,4
1689065804,155,2,4
1689065808,4066,2,4
1689065812,7861,2,4
1689065816,629,2,4
1689065820,486,2,4
1689065824,5719,2,4
1689065828,9664,2,4
1689065832,5529,2,4
1689065836,1179,2,4
1689065840,1269,2,4
1689065844,577,2,4
1689065848,5718,2,4
1689065852,9937,2,4
1689065856,6770,2,4
1689065860,7027,2,4
1689065864,5682,2,4
1689065868,8153,2,4
1689065872,6482,2,4
1689065876,12572,2,4
1689065880,6106,2,4
1689065884,2703,2,4
1689065888,817,2,4
1689065892,376,2,4
1689065896,574,2,4
1689065900,3665,2,4
1689065904,1026,2,4
1689065908,3539,2,4
1689065912,1091,2,4
1689065916,222,2,4
1689065920,112,2,4
1689065924,161,2,4
1689065928,385,2,4
1689065932,217,2,4
1689065936,528,2,4
1689065940,712,2,4
1689065944,1591,2,4
