timestamp_unix,timestamp_iso,participant_full_id,temperature_celsius,missing_value_reason
1673148480000,2023-01-08T03:28:00Z,101-1-1-0004,32.31,
1673148540000,2023-01-08T03:29:00Z,101-1-1-0004,32.28,
1673148600000,2023-01-08T03:30:00Z,101-1-1-0004,32.26,
1673148660000,2023-01-08T03:31:00Z,101-1-1-0004,32.25,
1673148720000,2023-01-08T03:32:00Z,101-1-1-0004,32.24,
1673148780000,2023-01-08T03:33:00Z,101-1-1-0004,32.24,
1673148840000,2023-01-08T03:34:00Z,101-1-1-0004,32.23,
1673148900000,2023-01-08T03:35:00Z,101-1-1-0004,32.22,
1673148960000,2023-01-08T03:36:00Z,101-1-1-0004,32.19,
1673149020000,2023-01-08T03:37:00Z,101-1-1-0004,32.19,
1673149080000,2023-01-08T03:38:00Z,101-1-1-0004,32.2,
1673149140000,2023-01-08T03:39:00Z,101-1-1-0004,32.21,
1673149200000,2023-01-08T03:40:00Z,101-1-1-0004,32.23,
1673149260000,2023-01-08T03:41:00Z,101-1-1-0004,32.24,
1673149320000,2023-01-08T03:42:00Z,101-1-1-0004,32.26,
1673149380000,2023-01-08T03:43:00Z,101-1-1-0004,32.29,
1673149440000,2023-01-08T03:44:00Z,101-1-1-0004,32.31,
1673149500000,2023-01-08T03:45:00Z,101-1-1-0004,32.3,
1673149560000,2023-01-08T03:46:00Z,101-1-1-0004,32.29,
1673149620000,2023-01-08T03:47:00Z,101-1-1-0004,32.26,
1673149680000,2023-01-08T03:48:00Z,101-1-1-0004,32.25,
1673149740000,2023-01-08T03:49:00Z,101-1-1-0004,32.24,
1673149800000,2023-01-08T03:50:00Z,101-1-1-0004,32.21,
1673149860000,2023-01-08T03:51:00Z,101-1-1-0004,32.18,
1673149920000,2023-01-08T03:52:00Z,101-1-1-0004,32.15,
1673149980000,2023-01-08T03:53:00Z,101-1-1-0004,32.14,
1673150040000,2023-01-08T03:54:00Z,101-1-1-0004,32.11,
1673150100000,2023-01-08T03:55:00Z,101-1-1-0004,32.1,
1673150160000,2023-01-08T03:56:00Z,101-1-1-0004,32.1,
1673150220000,2023-01-08T03:57:00Z,101-1-1-0004,32.1,
1673150280000,2023-01-08T03:58:00Z,101-1-1-0004,32.09,
1673150340000,2023-01-08T03:59:00Z,101-1-1-0004,32.09,
1673150400000,2023-01-08T04:00:00Z,101-1-1-0004,32.1,
1673150460000,2023-01-08T04:01:00Z,101-1-1-0004,32.09,
1673150520000,2023-01-08T04:02:00Z,101-1-1-0004,32.08,
1673150580000,2023-01-08T04:03:00Z,101-1-1-0004,32.06,
1673150640000,2023-01-08T04:04:00Z,101-1-1-0004,32.06,
1673150700000,2023-01-08T04:05:00Z,101-1-1-0004,32.06,
1673150760000,2023-01-08T04:06:00Z,101-1-1-0004,32.05,
1673150820000,2023-01-08T04:07:00Z,101-1-1-0004,32.03,
1673150880000,2023-01-08T04:08:00Z,101-1-1-0004,32.04,
1673150940000,2023-01-08T04:09:00Z,101-1-1-0004,32.05,
1673151000000,2023-01-08T04:10:00Z,101-1-1-0004,32.04,
1673151060000,2023-01-08T04:11:00Z,101-1-1-0004,32.01,
1673151120000,2023-01-08T04:12:00Z,101-1-1-0004,31.96,
1673151180000,2023-01-08T04:13:00Z,101-1-1-0004,31.9,
1673151240000,2023-01-08T04:14:00Z,101-1-1-0004,31.84,
1673151300000,2023-01-08T04:15:00Z,101-1-1-0004,31.77,
1673151360000,2023-01-08T04:16:00Z,101-1-1-0004,31.7,
1673151420000,2023-01-08T04:17:00Z,101-1-1-0004,31.64,
1673151480000,2023-01-08T04:18:00Z,101-1-1-0004,31.57,
1673151540000,2023-01-08T04:19:00Z,101-1-1-0004,31.5,
1673151600000,2023-01-08T04:20:00Z,101-1-1-0004,31.43,
1673151660000,2023-01-08T04:21:00Z,101-1-1-0004,31.37,
1673151720000,2023-01-08T04:22:00Z,101-1-1-0004,31.3,
1673151780000,2023-01-08T04:23:00Z,101-1-1-0004,31.21,
1673151840000,2023-01-08T04:24:00Z,101-1-1-0004,31.11,
1673151900000,2023-01-08T04:25:00Z,101-1-1-0004,31.04,
1673151960000,2023-01-08T04:26:00Z,101-1-1-0004,30.96,
1673152020000,2023-01-08T04:27:00Z,101-1-1-0004,30.9,
1673152080000,2023-01-08T04:28:00Z,101-1-1-0004,30.86,
1673152140000,2023-01-08T04:29:00Z,101-1-1-0004,30.82,
1673152200000,2023-01-08T04:30:00Z,101-1-1-0004,30.8,
